antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,Nj,IS,DOC,BIV
Medu,Fedu,0.5822784810126582,0.4962025316455696,0.420253164556962,0.7217391304347827,1.4545252883762203,0.1313251081557443,1.8105221518987349,0.748083242059146,27,19.486956521739128,0.22553659878921306,9.85624656026417
Fedu,Hidden,0.4962025316455696,0.5822784810126582,0.420253164556962,0.8469387755102041,1.45452528837622,0.1313251081557443,2.7291139240506337,0.6202700248229099,20,16.938775510204078,0.2646602944975459,8.601717902350812
Medu,famrel,0.5822784810126582,0.7620253164556962,0.4481012658227848,0.7695652173913043,1.0098945543839375,0.0043903220637718,1.0327203248149035,0.0234548878616677,27,20.77826086956522,0.00753990093560819,10.392900385250414
famrel,Hidden,0.7620253164556962,0.5822784810126582,0.4481012658227848,0.5880398671096346,1.0098945543839375,0.0043903220637718,1.0139853001224992,0.0411708137997359,27,15.877076411960134,0.005761386096976406,7.941418899028555
Medu,freetime,0.5822784810126582,0.3924050632911392,0.2354430379746835,0.4043478260869565,1.0304347826086957,0.006954013779843,1.0200498937448028,0.070707070707071,27,10.917391304347824,0.011942762795817297,5.46466703357182
freetime,Hidden,0.3924050632911392,0.5822784810126582,0.2354430379746835,0.6000000000000001,1.030434782608696,0.006954013779843,1.0443037974683549,0.0486111111111113,5,2.9999999999999996,0.017721518987341867,1.5088607594936707
Medu,goout,0.5822784810126582,0.3518987341772152,0.2126582278481012,0.3652173913043478,1.0378479824835785,0.0077551674411152,1.0209814461591815,0.0873015873015873,27,9.860869565217389,0.01331865712713265,4.937094111172261
goout,Hidden,0.3518987341772152,0.5822784810126582,0.2126582278481012,0.60431654676259,1.0378479824835785,0.0077551674411152,1.0556962025316456,0.0562686011904762,4,2.417266187050359,0.022038065749931723,1.2196521264001454
Medu,health,0.5822784810126582,0.5367088607594936,0.3139240506329114,0.5391304347826087,1.0045118949958982,0.0014100304438391,1.0052543587294005,0.010752688172043,27,14.556521739130437,0.0024215740231150473,7.279471656576776
health,Hidden,0.5367088607594936,0.5822784810126582,0.3139240506329114,0.5849056603773586,1.0045118949958984,0.0014100304438391,1.0063291139240509,0.0096950467124978,18,10.528301886792454,0.0026271793647003605,5.2654645330785765
Medu,G1,0.5822784810126582,0.4126582278481012,0.2708860759493671,0.4652173913043478,1.127367297946119,0.0306040698605992,1.098281362560461,0.2704616256018126,27,12.560869565217391,0.052559163456246616,6.306714364336819
G1,Hidden,0.4126582278481012,0.5822784810126582,0.2708860759493671,0.656441717791411,1.127367297946119,0.0306040698605992,1.2158679927667269,0.1923541733805994,23,15.098159509202457,0.0741632367787528,7.586161372990605
Medu,G2,0.5822784810126582,0.6303797468354431,0.3974683544303797,0.682608695652174,1.0828531517373845,0.0304117929818939,1.1645569620253169,0.183169272341247,27,18.430434782608693,0.0522289488167309,9.241331865712711
G2,Hidden,0.6303797468354431,0.5822784810126582,0.3974683544303797,0.6305220883534136,1.0828531517373845,0.0304117929818939,1.130572372041827,0.2070063694267517,30,18.915662650602407,0.04824360734075539,9.48195312897158
Medu,G3,0.5822784810126582,0.529113924050633,0.3367088607594937,0.5782608695652174,1.092885375494071,0.0286172087806441,1.1165339945191175,0.2034632034632033,27,15.61304347826087,0.04914694551458443,7.831095211887727
G3,Hidden,0.529113924050633,0.5822784810126582,0.3367088607594937,0.6363636363636364,1.092885375494071,0.0286172087806441,1.1487341772151898,0.1804915514592933,30,19.09090909090909,0.05408515535097813,9.572497123130034
famrel,Fedu,0.7620253164556962,0.4962025316455696,0.3873417721518987,0.5083056478405316,1.0243914841684183,0.0092228809485659,1.0246151214505643,0.1000556250869148,27,13.724252491694351,0.01210311619496196,6.868177803944657
Fedu,famrel,0.4962025316455696,0.7620253164556962,0.3873417721518987,0.7806122448979592,1.0243914841684183,0.0092228809485659,1.084721813364734,0.0472624560712059,20,15.612244897959181,0.018586928442263062,7.815415913200722
health,Fedu,0.5367088607594936,0.4962025316455696,0.2683544303797468,0.5,1.0076530612244898,0.0020381349142765,1.0075949367088608,0.0163934426229508,18,9.0,0.0037974683544304,4.501898734177216
Fedu,health,0.4962025316455696,0.5367088607594936,0.2683544303797468,0.5408163265306123,1.0076530612244898,0.0020381349142765,1.008945147679325,0.0150753768844221,20,10.816326530612246,0.004107465771118646,5.410216998191682
G1,Fedu,0.4126582278481012,0.4962025316455696,0.220253164556962,0.5337423312883436,1.0756541880555903,0.0154911071943598,1.0805129913391074,0.1197483154974238,23,12.276073619631903,0.037539799642773986,6.156806709637339
Fedu,G1,0.4962025316455696,0.4126582278481012,0.220253164556962,0.4438775510204082,1.0756541880555903,0.0154911071943598,1.0561374985483687,0.1396060763588056,20,8.877551020408163,0.031219323172307023,4.454385171790235
Fedu,G2,0.4962025316455696,0.6303797468354431,0.3493670886075949,0.7040816326530612,1.116916646176543,0.0365710623297548,1.2490615451767786,0.2077780205374698,20,14.081632653061225,0.07370188581761816,7.077667269439422
G2,Fedu,0.6303797468354431,0.4962025316455696,0.3493670886075949,0.5542168674698794,1.1169166461765427,0.0365710623297548,1.1301402668491274,0.2832042882668253,30,16.626506024096383,0.058014335824309815,8.342260179960347
Fedu,G3,0.4962025316455696,0.529113924050633,0.2886075949367088,0.5816326530612245,1.0992578849721706,0.0260599262938631,1.1255325717814135,0.179229480737018,20,11.632653061224488,0.052518729010591514,5.84258589511754
G3,Fedu,0.529113924050633,0.4962025316455696,0.2886075949367088,0.5454545454545454,1.0992578849721706,0.0260599262938631,1.1083544303797468,0.1917562724014333,30,16.36363636363636,0.049252013808975814,8.206444188722667
freetime,famrel,0.3924050632911392,0.7620253164556962,0.3189873417721519,0.8129032258064516,1.0667666916729182,0.019964749238904,1.2719336534264514,0.1030092592592592,5,4.064516129032258,0.050877909350755424,2.0576970191915067
famrel,freetime,0.7620253164556962,0.3924050632911392,0.3189873417721519,0.4186046511627907,1.0667666916729184,0.019964749238904,1.0450632911392406,0.2630023640661936,27,11.30232558139535,0.026199587871651497,5.664262584633501
